Date,AU200_AUD,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,BCO_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CH20_CHF,CHF_HKD,CHF_JPY,CHF_ZAR,CORN_USD,DE10YB_EUR,DE30_EUR,EU50_EUR,EUR_AUD,EUR_CAD,EUR_CHF,EUR_CZK,EUR_DKK,EUR_GBP,EUR_HKD,EUR_HUF,EUR_JPY,EUR_NOK,EUR_NZD,EUR_PLN,EUR_SEK,EUR_SGD,EUR_TRY,EUR_USD,EUR_ZAR,FR40_EUR,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_PLN,GBP_SGD,GBP_USD,GBP_ZAR,HK33_HKD,HKD_JPY,JP225_USD,NAS100_USD,NATGAS_USD,NL25_EUR,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SG30_SGD,SGD_CHF,SGD_HKD,SGD_JPY,SOYBN_USD,SPX500_USD,SUGAR_USD,TRY_JPY,UK100_GBP,UK10YB_GBP,US2000_USD,US30_USD,USB02Y_USD,USB05Y_USD,USB10Y_USD,USB30Y_USD,USD_CAD,USD_CHF,USD_CNH,USD_CZK,USD_DKK,USD_HKD,USD_HUF,USD_INR,USD_JPY,USD_MXN,USD_NOK,USD_PLN,USD_SAR,USD_SEK,USD_SGD,USD_THB,USD_TRY,USD_ZAR,WHEAT_USD,WTICO_USD,XAG_AUD,XAG_CAD,XAG_CHF,XAG_EUR,XAG_GBP,XAG_HKD,XAG_JPY,XAG_NZD,XAG_SGD,XAG_USD,XAU_AUD,XAU_CAD,XAU_CHF,XAU_EUR,XAU_GBP,XAU_HKD,XAU_JPY,XAU_NZD,XAU_SGD,XAU_USD,XAU_XAG,XCU_USD,XPD_USD,XPT_USD,ZAR_JPY
2011-02-06,4873.1,1.002225,0.970265,7.89208,83.5505,1.31587,1.29224,1.01383,99.974,0.96817,7.87467,83.3655,1.289285,6579.6,8.1336,86.106,7.57632,6.721,122.99,7281.4,2731.8,1.337035,1.340105,1.297455,24.08715,7.45494,0.841485,10.55233,268.593,111.716,7.84803,1.75935,3.87933,8.78078,1.7278,2.14285,1.35557,9.828915,4094.2,1.589015,1.592575,1.54179,12.540635,132.762,2.0908,4.60999,2.05336,1.61099,11.681165,23553.6,10.586,10654.4,2355.2,4.15,368.989,0.76169,0.737415,5.99786,63.4985,0.98201,0.770495,378.99,0.750895,6.107615,64.6575,14.291,1320.4,0.33322,52.1335,6035.2,116.418,810.492,12160.9,109.186,117.028,118.747,118.28,0.98854,0.95707,6.5605,17.76932,5.499455,7.784425,198.122,45.6505,82.41,11.97172,5.78864,2.86173,3.7505,6.47763,1.274565,30.729,1.58056,7.25076,8.452,87.929,28.904,28.9675,28.047,21.615,18.19,228.1145,2414.75,38.0325,37.35,29.304,1330.915,1333.85,1291.38,995.38,837.585,10503.6,111199.0,1751.1795,1719.785,1349.31,46.0475,4.57069,818.5,1845.0,11.3625
2011-02-07,4881.0,1.008035,0.973815,7.91882,83.3675,1.30895,1.29401,1.0175,100.095,0.966095,7.856,82.701,1.28381,6596.0,8.131765,85.605,7.488715,6.666,123.003,7315.6,2729.7,1.345045,1.35585,1.30982,24.01361,7.455,0.85063,10.65145,269.403,112.1295,7.85452,1.76059,3.88653,8.7626,1.740565,2.154125,1.36862,9.809165,4110.8,1.58132,1.594,1.539915,12.521855,131.822,2.069655,4.56905,2.04621,1.60895,11.53149,23414.0,10.528,10634.9,2355.0,4.079,370.109,0.77011,0.744025,6.05006,63.6925,0.9887,0.77738,376.07,0.752535,6.119575,64.4215,14.195,1321.1,0.31834,52.0605,6077.4,116.385,807.784,12185.2,109.169,116.975,118.786,118.675,0.99066,0.957065,6.555,17.54667,5.447025,7.782625,196.835,45.485,81.931,11.98231,5.73899,2.83982,3.75055,6.40257,1.271795,30.684,1.573765,7.16719,8.587,87.427,29.625,29.861,28.85,22.022,18.733,234.5915,2469.45,38.7775,38.3355,30.143,1342.9,1353.605,1307.725,998.375,849.265,10634.14,111950.5,1757.731,1737.775,1366.395,45.3275,4.58577,822.0,1844.5,11.4295
2011-02-08,4865.0,1.003995,0.970245,7.858565,83.2235,1.30897,1.28575,1.00943,100.757,0.9664,7.827175,82.918,1.28059,6591.3,8.09962,85.809,7.522295,6.873,122.605,7321.7,2714.7,1.35599,1.36143,1.31565,24.24043,7.45588,0.85075,10.655925,271.719,112.8905,7.9009,1.775085,3.90726,8.81032,1.743445,2.17742,1.36875,9.896945,4094.4,1.59387,1.60023,1.546425,12.525255,132.694,2.08639,4.59296,2.049255,1.608865,11.632675,23098.3,10.595,10590.5,2356.5,4.044,369.327,0.766985,0.74121,6.003205,63.585,0.982225,0.771115,370.86,0.754615,6.112095,64.755,14.369,1316.8,0.30829,51.8485,6048.9,116.081,805.876,12200.4,109.153,116.835,118.575,118.004,0.99462,0.961175,6.565,17.70921,5.447295,7.78515,198.52,45.745,82.481,12.05714,5.77209,2.85472,3.75048,6.43683,1.273735,30.718,1.59062,7.23054,8.646,86.546,29.9025,30.0215,29.0135,22.051,18.762,234.9845,2489.4,39.1385,38.4465,30.184,1349.375,1354.78,1309.225,995.135,846.635,10603.995,112342.5,1766.377,1734.97,1362.08,45.1295,4.51693,835.5,1863.0,11.4075
2011-02-13,4912.7,0.990655,0.973025,7.812835,83.5115,1.324485,1.28519,1.00222,104.489,0.98221,7.88694,84.301,1.29742,6620.8,8.02976,85.828,7.52892,7.003,122.801,7399.6,2717.4,1.344375,1.331795,1.308075,24.31203,7.45669,0.841,10.504045,271.997,112.2755,7.87366,1.78055,3.94847,8.76085,1.727865,2.15439,1.347445,9.84923,4101.5,1.598595,1.58361,1.55543,12.489845,133.502,2.11724,4.69497,2.05451,1.60218,11.71121,23094.4,10.691,10717.9,2384.7,3.91,370.522,0.747965,0.73464,5.898895,63.056,0.97038,0.756715,366.31,0.757075,6.07866,64.9815,14.131,1329.5,0.31267,52.1175,6058.8,116.319,824.944,12252.7,109.101,116.804,118.895,119.291,0.98841,0.97083,6.5815,18.04315,5.534115,7.79553,201.878,45.675,83.3285,12.0464,5.8437,2.93054,3.75055,6.50185,1.282345,30.737,1.59871,7.30955,8.659,85.515,30.491,30.2055,29.669,22.6795,19.0755,238.2275,2546.35,40.3845,39.188,30.5595,1361.465,1348.645,1324.655,1012.66,851.64,10636.89,113697.5,1803.169,1749.705,1364.485,44.6505,4.62031,823.5,1825.5,11.4
2011-02-14,4908.6,0.987385,0.966655,7.78529,83.6935,1.328745,1.278595,0.9988,103.177,0.978995,7.884605,84.76,1.29491,6642.1,8.053875,86.5795,7.55499,6.869,122.914,7394.8,2732.4,1.35097,1.333955,1.30591,24.35797,7.45605,0.8367,10.51797,271.269,113.0635,7.86804,1.79519,3.92863,8.74836,1.72744,2.15458,1.34938,9.866355,4108.1,1.614655,1.594355,1.5608,12.570385,135.133,2.145395,4.69539,2.06453,1.612695,11.791755,22933.9,10.751,10743.4,2376.7,3.94,370.141,0.74309,0.72749,5.85931,62.987,0.96231,0.75168,363.2,0.756,6.08902,65.4555,13.789,1326.7,0.30846,52.473,6021.3,116.196,821.735,12218.9,109.092,116.861,118.981,119.436,0.98859,0.967815,6.573,18.05306,5.525595,7.794645,201.045,45.695,83.7935,12.13073,5.83068,2.91154,3.75052,6.48318,1.280155,30.696,1.5966,7.31204,8.362,84.632,30.7435,30.3565,29.7165,22.754,19.041,239.351,2573.1,40.8495,39.3095,30.707,1373.64,1356.33,1327.82,1016.765,850.755,10694.125,114965.0,1825.205,1756.38,1371.98,44.681,4.55347,836.0,1838.5,11.461
2011-02-15,4922.6,0.983745,0.960025,7.77662,83.5955,1.326795,1.277445,0.99829,104.759,0.975925,7.90527,84.9765,1.298535,6664.5,8.100215,87.0745,7.53532,6.788,123.348,7418.4,2748.4,1.356885,1.33484,1.302745,24.34073,7.45625,0.84339,10.552125,270.67,113.4345,7.79842,1.800325,3.90946,8.70204,1.733425,2.14848,1.354585,9.816095,4150.7,1.608995,1.58278,1.544635,12.512005,134.4975,2.134455,4.635855,2.05538,1.606175,11.63973,23105.6,10.749,10863.8,2398.4,3.919,371.41,0.74148,0.72361,5.86138,63.0085,0.962915,0.75245,367.5,0.751515,6.08717,65.436,13.628,1334.7,0.32288,52.7955,6076.0,116.545,826.729,12284.2,109.114,116.831,118.926,119.58,0.98541,0.961695,6.5575,17.96961,5.50447,7.789935,199.815,45.665,83.7375,12.08862,5.75692,2.88627,3.75055,6.42409,1.279675,30.629,1.58587,7.24668,8.15,85.754,30.755,30.254,29.524,22.6645,19.1135,239.1625,2570.95,40.801,39.2885,30.7015,1379.54,1357.125,1324.425,1016.685,857.43,10728.37,115321.5,1830.352,1762.38,1377.21,44.857,4.48662,838.0,1831.5,11.5565
2011-02-16,4923.5,0.995345,0.961875,7.87715,84.2165,1.3319,1.290705,1.011495,104.17,0.966505,7.91497,84.6095,1.297045,6662.8,8.189435,87.5545,7.55828,7.001,123.881,7399.6,2755.3,1.345575,1.33933,1.294365,24.31408,7.45495,0.84164,10.59942,270.195,113.3265,7.76943,1.792185,3.90926,8.72717,1.73676,2.14785,1.36106,9.782525,4153.9,1.59871,1.591195,1.537825,12.593485,134.6385,2.12903,4.64482,2.06343,1.617115,11.62298,23298.3,10.691,10859.3,2398.7,3.864,372.629,0.7473,0.722195,5.91439,63.2315,0.96914,0.75946,365.57,0.745225,6.10314,65.247,13.921,1338.1,0.31147,52.7565,6076.1,116.984,830.422,12296.5,109.238,117.193,119.294,119.787,0.98391,0.950935,6.5605,17.86221,5.477205,7.787625,198.507,45.455,83.2575,12.04519,5.7079,2.87229,3.75075,6.41183,1.276035,30.595,1.57796,7.18765,8.322,85.399,30.8955,30.7485,29.7195,22.961,19.326,243.371,2601.8,41.149,39.8775,31.251,1367.265,1360.76,1315.15,1016.105,855.215,10770.125,115139.5,1821.0045,1764.73,1382.98,44.255,4.45974,838.5,1830.5,11.586
2011-02-17,4906.5,0.996805,0.962035,7.89611,84.4165,1.328945,1.292165,1.0143,103.19,0.965095,7.921325,84.6885,1.29631,6680.1,8.207665,87.75,7.506515,7.063,123.244,7420.8,2753.3,1.34804,1.34369,1.296805,24.43745,7.45439,0.841795,10.64437,269.699,113.7975,7.75727,1.79149,3.91633,8.74391,1.74188,2.156605,1.36733,9.734965,4157.1,1.60138,1.596305,1.5406,12.645065,135.1865,2.128025,4.652355,2.06929,1.62433,11.564595,23590.0,10.691,10864.8,2398.2,3.871,374.052,0.75005,0.723895,5.94146,63.522,0.97231,0.76322,365.85,0.74451,6.11023,65.328,13.853,1343.1,0.31272,52.7635,6074.7,116.61,836.816,12361.8,109.222,117.045,119.051,119.21,0.98276,0.948475,6.55,17.87302,5.451935,7.784785,197.229,45.255,83.2255,12.00927,5.67333,2.86422,3.7507,6.39483,1.273955,30.559,1.57724,7.11985,8.34,87.682,32.172,32.07,30.9535,23.866,20.092,254.0365,2715.85,42.7565,41.572,32.6325,1368.55,1364.165,1316.57,1015.2,854.56,10805.985,115524.5,1818.676,1768.365,1388.09,42.536,4.48481,849.0,1838.0,11.6895
2011-02-21,4823.2,0.985185,0.93865,7.785765,82.8685,1.33411,1.278135,0.99911,106.76,0.95273,7.902785,84.116,1.297265,6565.9,8.294915,88.2915,7.60535,6.764,124.287,7308.1,2694.1,1.36732,1.34703,1.283355,24.53496,7.45528,0.846975,10.64537,272.403,113.303,7.75977,1.824115,3.96009,8.78644,1.74753,2.17937,1.36607,9.76042,4044.2,1.614245,1.590345,1.51511,12.5681,133.7755,2.15362,4.67568,2.06309,1.612805,11.52331,22945.2,10.644,10627.1,2347.6,3.834,368.233,0.73847,0.70354,5.83588,62.117,0.95795,0.74889,356.76,0.7344,6.091615,64.8395,12.873,1325.1,0.30892,51.989,5970.8,117.653,820.082,12277.5,109.358,117.701,120.1,121.041,0.98607,0.939455,6.570525,17.95928,5.45749,7.7927,199.404,45.425,82.945,12.09947,5.68032,2.89901,3.75142,6.4321,1.279225,30.618,1.595145,7.14475,7.534,91.97,33.005,32.5165,30.98,24.1395,20.4475,256.9685,2735.0,44.0315,42.1825,32.9755,1400.085,1379.4,1314.2,1023.995,867.335,10900.93,116030.0,1867.9045,1789.425,1398.865,42.4225,4.35129,834.5,1823.5,11.6095
2011-02-22,4801.2,0.992295,0.932125,7.79469,82.3975,1.34203,1.277295,0.99999,111.299,0.939425,7.85569,83.0365,1.28737,6571.2,8.36227,88.3945,7.646055,6.785,124.38,7191.4,2673.0,1.375725,1.365125,1.28232,24.54704,7.45509,0.848235,10.72342,274.347,113.3525,7.74395,1.846205,3.97904,8.79805,1.75729,2.210815,1.37572,9.80518,4004.4,1.62193,1.60951,1.51191,12.642685,133.645,2.176625,4.69118,2.071765,1.621945,11.56001,22937.8,10.572,10502.7,2300.1,3.836,364.942,0.73942,0.69455,5.80827,61.3975,0.95179,0.74515,353.63,0.729735,6.101655,64.507,13.003,1307.3,0.29641,51.273,5898.3,117.751,799.47,12144.6,109.42,117.946,120.389,121.624,0.992245,0.932135,6.572025,17.8428,5.419125,7.79477,199.423,45.4155,82.3985,12.18353,5.6288,2.89243,3.75092,6.39535,1.27736,30.607,1.606875,7.12716,7.45,96.295,33.7035,33.4435,31.416,24.499,20.78,262.711,2777.1,45.2295,43.052,33.7035,1414.2,1403.255,1318.23,1027.965,871.925,11023.405,116524.5,1897.8795,1806.445,1414.205,41.9595,4.27443,810.0,1797.5,11.5605
